UBIGEO;REGION_NATURAL;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_URBANA;GENERACION_MUN_TANIO;PERIODO;CLASIFICACION_MUNICIPAL_MEF;SUMA_RESIDUOS
150140;CALLAO;LIMA ;LIMA;SANTIAGO DE SURCO;414142;140364.56;2021;C;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;408086;134056.25;2020;C;1072590.4
150140;COSTA;LIMA ;LIMA;SANTIAGO DE SURCO;397082;130441.44;2019;C;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;388748;129325.26;2018;;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;357577;5162.66;2017;;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;350855;116719.43;2016;;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;344242;122058.38;2015;;1072590.4
150140;COSTA;LIMA;LIMA;SANTIAGO DE SURCO;338509;152107.0;2014;;1072590.4
150142;CALLAO;LIMA;LIMA;VILLA EL SALVADOR;432170;162248.97;2022;C;1156460.68
150142;CALLAO;LIMA ;LIMA;VILLA EL SALVADOR;428276;149621.28;2021;C;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;423887;148087.95;2020;C;1156460.68
150142;COSTA;LIMA ;LIMA;VILLA EL SALVADOR;420278;146827.12;2019;C;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;416766;99964.22;2018;;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;482027;31003.15;2017;;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;472442;155689.89;2016;;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;463014;152100.1;2015;;1156460.68
150142;COSTA;LIMA;LIMA;VILLA EL SALVADOR;454114;110918.0;2014;;1156460.68
150143;CALLAO;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;448775;166142.92;2022;C;1331443.96
150143;CALLAO;LIMA ;LIMA;VILLA MARIA DEL TRIUNFO;443687;164259.27;2021;C;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;437992;159867.08;2020;C;1331443.96
150143;COSTA;LIMA ;LIMA;VILLA MARIA DEL TRIUNFO;432835;157984.78;2019;C;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;428297;149628.58;2018;;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;465735;115617.62;2017;;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;457069;183513.2;2016;;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;448545;140330.51;2015;;1331443.96
150143;COSTA;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;441239;94100.0;2014;;1331443.96
